
2025-06-05 09:50:03
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
86	37/86	82.22%/62.77%	1.0%/2.5%	3/2

2025-06-05 09:50:03
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
华为概念/7/5天3板	智能电网/6/2天2板	储能/6/3天3板	充电桩/5/2天2板	大数据/5/4天2板

2025-06-05 09:50:05
龙头股信息：
代码	名称	板块	高度	标签	警告
000695	滨海能源	滨海新区	13天8板	13天8板,滨海新区,太阳能 	 7/7/20250604
603518	锦泓集团	电商概念	 7天5板	7天5板,纺织服装,电商概念 	 6/8/20250604
002878	元隆雅图	快手概念	 5天3板	5天3板,快手概念,NFT概念	8/10/20250604
605099	共创草坪	体育产业	 4天4板	4天4板,体育产业,家用轻工 	 5/8/20250604
000889	中嘉博创	百度概念	 4天2板	4天2板,百度概念,通信服务 	7/11/20250604

2025-06-05 09:50:05
连板天梯信息：
昨板数	今板数	昨涨停数	连板成功	连板成功率
5	6	 2	 0	  0.0%
4	5	 1	 0	  0.0%
3	4	 7	 1	14.29%
2	3	20	 3	 15.0%
1	2	88	10	11.36%

2025-06-05 09:50:18
个股连板情况：
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
5	6	   fail	002177	御银股份	 4.95%	6天5板,计算机设备,生物识别   	 3/6/20250604
5	6	   fail	603056	德邦股份	-9.66%	7天5板,物流行业,快递概念    	 2/6/20250604
4	5	   fail	002250	联化科技	 1.29%	6天4板,长江三角,农药兽药    	 3/6/20250604
3	4	   fail	603879	永悦科技	-8.88%	4天3板,低空经济,农业种植    	 5/9/20250604
3	4	   fail	603123	翠微股份	-1.71%	5天3板,央国企改革,新零售    	 4/7/20250604
3	4	   fail	002082	万邦德：	-1.72%	4天3板,化学制药,肝炎概念    	 5/9/20250604
3	4	   fail	002537	海联金汇	 0.24%	5天3板,NFT概念,数字货币   	 8/9/20250604
3	4	   fail	603017	中衡设计	-7.33%	4天3板,工程咨询服务,建筑节能  	 5/8/20250604
3	4	   fail	002104	恒宝股份	 4.90%	5天3板,数字货币,数字经济    	 5/9/20250604
3	4	success	605099	共创草坪	10.01%	4天4板,体育产业,家用轻工    	 5/8/20250604
2	3	   fail	605005	合兴股份	-7.57%	6天4板,新能源车,汽车零部件   	 4/8/20250604
2	3	   fail	002633	申科股份	-6.15%	4天2板,微盘股,通用设备     	8/10/20250604
2	3	   fail	002731	萃华珠宝	 7.46%	3天2板,小红书概念,锂电池    	 6/9/20250604
2	3	   fail	000566	海南海药	-4.92%	4天2板,化学制药,肝炎概念    	 5/8/20250604
2	3	   fail	603906	龙蟠科技	-4.52%	3天2板,固态电池,电池      	 6/8/20250604
2	3	   fail	300651	金陵体育	19.08%	3天3板,彩票概念,体育产业    	 1/3/20250604
2	3	   fail	003009	中天火箭	-0.65%	4天2板,太阳能,商业航天     	6/10/20250604
2	3	   fail	003010	若羽臣：	-1.43%	3天2板,婴童概念,社区团购    	 6/7/20250604
2	3	   fail	603697	有友食品	-3.52%	成渝特区人气龙头,成渝特区,食品饮料	 6/9/20250604
2	3	   fail	605006	山东玻纤	-1.49%	3天2板,央国企改革,玻璃玻纤   	6/10/20250604
2	3	   fail	603076	乐惠国际	-0.77%	8天5板,阿里概念,C2M概念   	 6/7/20250604
2	3	   fail	605599	菜百股份	-2.83%	6天3板,黄金概念,珠宝首饰    	 6/9/20250604
2	3	   fail	002900	哈三联：	-3.83%	4天2板,创新药,化学制药     	 6/8/20250604
2	3	   fail	000989	九芝堂：	-2.53%	3天2板,创新药,毛发医疗     	 6/9/20250604
2	3	   fail	600259	广晟有色	 5.92%	3天2板,小金属,稀土永磁     	 6/8/20250604
2	3	   fail	600468	百利电气	-5.66%	14天7板,可控核聚变,超导概念  	 6/6/20250604
2	3	   fail	002345	潮宏基：	-0.99%	3天2板,培育钻石,珠宝首饰    	 5/5/20250604
2	3	success	603093	南华期货	 9.97%	3天3板,多元金融,参股期货    	 5/9/20250604
2	3	success	603226	菲林格尔	 9.96%	4天3板,装修建材         	6/10/20250604
2	3	success	002951	金时科技	10.00%	3天3板,储能,超级电容      	5/10/20250604

2025-06-05 09:50:22
昨日涨停成交量分析：
代码	名称	涨幅	昨套牢	昨获利	今套牢	今获利	今正常	今总量	标签
002968	新大正：	-0.62%	 75%	 25%	 0%	15%	  5%	 20%	房地产服务业绩龙头,智慧城市,西部大开发
300238	冠昊生物	-0.24%	100%	  0%	 0%	 0%	 19%	 19%	医疗器械人气龙头,创投,医疗器械概念  
002829	星网宇达	-0.23%	100%	  0%	 0%	 0%	 20%	 20%	百度概念,人工智能           
603305	旭升集团	-0.22%	100%	  0%	 0%	 0%	 99%	 99%	昨日首板,人形机器人,特斯拉      
601069	西部黄金	  0.0%	 39%	 61%	 0%	 0%	 16%	 16%	贵金属,贬值受益            
002427	尤夫股份	 0.19%	  0%	100%	 0%	 0%	 48%	 48%	昨日首板,央国企改革,海洋经济     
600651	飞乐音响	 0.23%	 55%	 45%	 0%	 0%	 15%	 15%	国产芯片,LED            
002669	康达新材	 0.36%	 72%	 28%	 0%	 0%	 17%	 17%	大股东增持,裸眼3D,MLCC     
002342	巨力索具	 0.94%	  0%	100%	 0%	38%	 39%	 76%	昨日首板,新能源,风能         
603711	香飘飘：	 1.13%	  0%	100%	 0%	 0%	110%	110%	昨日首板,食品饮料           
002940	昂利康：	 1.13%	 67%	 33%	 0%	20%	  9%	 29%	月度涨幅领先,宠物经济,创新药     
000953	河化股份	 1.26%	  5%	 95%	 0%	 0%	 35%	 35%	化工原料人气龙头,化工原料,西部大开发 
603099	长白山：	 1.34%	  0%	100%	 0%	 0%	 48%	 48%	昨日首板,冰雪经济,旅游酒店      
603956	威派格：	 1.72%	 88%	 12%	 0%	10%	 13%	 23%	智谱AI,ChatGPT概念      
002418	康盛股份	 1.83%	  0%	100%	57%	 0%	 45%	102%	昨日首板,储能,算力概念        
002526	山东矿机	 2.01%	 27%	 73%	 0%	 0%	 22%	 22%	网络游戏,机器人概念          
601700	风范股份	 2.52%	  0%	100%	 0%	 0%	161%	161%	昨日首板,智能电网,电网设备      
002290	禾盛新材	 2.58%	  0%	100%	 0%	 0%	 54%	 54%	昨日首板,DeepSeek概念,人工智能
603023	威帝股份	 2.96%	  0%	100%	69%	 0%	 23%	 92%	昨日首板,微盘股,车联网(车路云)   
603506	南都物业	 3.06%	 30%	 70%	 0%	12%	 13%	 25%	房地产服务人气龙头,养老概念,垃圾分类 
600561	江西长运	 3.12%	 12%	 88%	57%	 0%	 19%	 77%	微盘股,铁路公路            
002055	得润电子	 3.71%	  0%	100%	 0%	84%	 49%	133%	昨日首板,高压快充,EDR概念     
603042	华脉科技	 3.76%	  0%	100%	 0%	 0%	164%	164%	昨日首板,数据中心,边缘计算      
002657	中科金财	 4.32%	  0%	100%	43%	 0%	 13%	 56%	昨日首板,Web3.0,智谱AI    
600250	南京商旅	 4.47%	  0%	100%	 0%	 0%	 41%	 41%	旅游概念人气龙头,旅游概念,养老概念  
300703	创源股份	 4.66%	 36%	 64%	 0%	23%	  7%	 31%	AIGC概念人气龙头,体育产业,家用轻工
600110	诺德股份	 4.74%	  0%	100%	 0%	 0%	147%	147%	昨日首板,智能电网,超级电容      
001338	永顺泰：	 4.82%	  0%	100%	 0%	 0%	120%	120%	昨日首板,央国企改革,啤酒概念     

2025-06-05 09:50:38
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	0.19%/345	央国企改革(17),智能电网(16),西部大开发(16),充电桩(14),食品饮料(13)
飙升	 3.03%/75	     虚拟电厂(28),智能电网(27),电网设备(8),绿色电力(5),充电桩(4)
大涨	10.69%/41	 虚拟电厂(7),智能电网(7),体育产业(4),电网设备(2),今日主力净流入领先(2)

2025-06-05 09:50:38
资金流入板块信息：
板块(量比/涨幅)
旅游酒店(7.0/0.5),包装材料(5.7/0.1),家用轻工(5.5/1.4),玻璃玻纤(5.0/-0.7),电池(4.9/-0.4)

(今日与昨日量比)上证：4% 深证：2% 创业板：1% 沪深300：-5% 中证1000：3% 银行板块：-28%：

2025-06-05 09:50:52
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
600678	四川金顶	20250528	2	70.0%	16.0%	 6.0%	 8.0%	0.899	 0.0	新能源车,无人驾驶           
000539	粤电力Ａ	20250528	2	61.0%	31.0%	 2.0%	 6.0%	0.903	-9.0	北交所概念业绩龙头,北交所概念,绿色电力
002968	新大正：	20250529	2	70.0%	 8.0%	13.0%	 9.0%	0.789	-1.0	房地产服务业绩龙头,智慧城市,西部大开发
002418	康盛股份	20250529	2	63.0%	23.0%	 7.0%	 7.0%	5.793	 9.0	昨日首板,储能,算力概念        
002875	安奈儿：	20250530	1	46.0%	30.0%	 0.0%	24.0%	0.114	 0.0	抗菌面料人气龙头,婴童概念,新零售   
600561	江西长运	20250603	1	68.0%	23.0%	 7.0%	 2.0%	2.093	 1.0	微盘股,铁路公路            
002798	帝欧家居	20250603	1	20.0%	 0.0%	45.0%	35.0%	 0.05	 0.0	智能家居人气龙头,装修建材,西部大开发 

2025-06-05 09:50:56
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
000400	许继电气	 1.08%	 0.66	 6.88	1.0	129	1299	无线充电估值龙头,智能电网,电网设备	30/103    	        nan
002090	金智科技	 9.99%	 2.24	 6.91	4.0	130	1106	今日首板,虚拟电厂,智能电网    	0/34      	 2/50%/3.5%
600178	东安动力	 9.97%	 8.76	16.93	1.0	144	1123	今日首板,华为概念,汽车零部件   	0+30      	 9/78%/3.0%
600698	湖南天雁	 9.06%	 7.88	21.05	6.0	148	1126	尾气治理,新能源车         	63-24/0+39	13/54%/1.1%
300513	恒实科技	20.05%	12.61	62.32	1.0	174	2567	今日首板,虚拟电厂,数字哨兵    	1/21      	        nan
301162	国能日新	 3.25%	 1.86	 10.2	1.0	197	3536	虚拟电厂,智能电网         	6/21      	 1/0%/-6.4%
002546	新联电子	10.06%	 5.49	30.42	1.0	227	1710	今日首板,虚拟电厂,智能电网    	0+25      	2/50%/-1.0%
600027	华电国际	 0.17%	 0.11	 1.58	2.0	296	1451	大股东增持,虚拟电厂,绿色电力   	58+115    	        nan

2025-06-05 09:51:59
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
601788	光大证券	 1.68%	11%	  6%	 87	 -27	2103	1171	 1.0	F	3日主力净流入领先,参股期货,互联金融 	64/261      	 2/50%/0.0%
600392	盛和资源	 2.06%	10%	  5%	 91	  34	 502	 660	 8.0	F	3日主力净流入领先,小金属,稀土永磁  	24+134      	4/100%/5.1%
600738	丽尚国潮	 0.17%	12%	  5%	128	  -6	1039	  49	 8.0	F	大股东增持,央国企改革,跨境电商    	0+0         	6/50%/-1.7%
000400	许继电气	 1.08%	 1%	 -2%	129	1299	 807	 334	 1.0	F	无线充电估值龙头,智能电网,电网设备  	30/103      	        nan
603306	华懋科技	-6.46%	 0%	  0%	133	 321	1020	1220	 0.0	F	汽车零部件,光刻机(胶)        	0/0         	 9/56%/0.4%
001236	弘业期货	 2.57%	11%	  5%	192	   4	1302	1088	 1.0	F	多元金融,央国企改革          	2+18        	8/50%/-1.1%
301162	国能日新	 3.25%	 1%	 -1%	197	3536	1410	 974	 1.0	F	虚拟电厂,智能电网           	6/21        	 1/0%/-6.4%
301399	英特科技	-3.33%	14%	-24%	205	 -36	3896	2253	-1.0	F	液冷概念,通用设备           	0/6         	2/100%/2.7%
301141	中科磁业	 1.01%	12%	  9%	212	 -35	3667	2081	 9.0	F	月度涨幅领先,小金属,稀土永磁     	3/16        	1/0%/-10.3%
600884	杉杉股份	-1.43%	13%	  6%	213	 -43	 902	 416	-1.0	F	OLED,固态电池           	138-45/18+75	2/100%/7.5%
600593	大连圣亚	-0.95%	 7%	  2%	216	 -81	1759	 334	-1.0	F	冰雪经济,谷子经济           	3+17        	12/75%/4.2%
002719	麦趣尔：	-0.93%	13%	  7%	217	 -59	1242	 328	 9.0	F	微盘股,西部大开发           	1+9         	 9/56%/1.4%
300620	光库科技	  0.8%	 4%	  1%	220	  53	2729	1368	 1.0	F	5G概念,激光雷达           	10+55       	        nan
603283	赛腾股份	 -1.7%	 9%	  4%	224	 -53	2258	 573	-1.0	F	高带宽内存业绩龙头,专用设备,高带宽内存	4/47        	 4/50%/0.4%
002387	维信诺：	-3.02%	 7%	  3%	237	 -63	1552	 556	-1.0	F	电子后视镜,屏下摄像          	38+63       	10/60%/1.7%
300886	华业香料	-4.41%	13%	  3%	239	 -52	 995	 -72	-1.0	F	化工原料人气龙头,化工原料,美容护理  	2/7         	 1/0%/-8.8%
000950	重药控股	-0.95%	 8%	  5%	243	  15	1125	1157	-2.0	F	SPD概念业绩龙头,养老概念,央国企改革	6/34        	        nan
000576	甘化科工	-1.78%	11%	  3%	244	 -53	 843	 372	 6.0	F	军工,电源设备             	0/24        	 5/40%/0.6%
300911	亿田智能	-0.95%	11%	-21%	251	 -38	2856	1305	 4.0	F	算力概念,DeepSeek概念     	6+25        	1/100%/0.2%
002116	中国海诚	-2.33%	 6%	  5%	253	 -36	1331	1187	-3.0	F	啤酒概念估值龙头,工程咨询服务,啤酒概念	6/19        	3/33%/-0.1%
300035	中科电气	 0.41%	 4%	 -2%	264	 -18	1806	 663	 1.0	F	碳基材料业绩龙头,磁悬浮概念,创投   	95-3/13+79  	1/100%/4.0%

2025-06-05 09:51:59
热榜个股信息2：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
600110	诺德股份	 4.74%	10%	  5%	 21	  1	2555	 982	 9.0	T1	昨日首板,智能电网,特斯拉       	2/41      	  4/75%/4.0%
002866	传艺科技	-0.85%	13%	  6%	 26	  3	 494	 765	-1.0	T1	昨日首板,消费电子,储能        	34-7/2+25 	  9/56%/0.6%
002741	光华科技	-0.85%	10%	  6%	 38	 -7	1568	 174	-1.0	T1	昨日首板,PCB,5G概念       	74-28/3+43	 10/70%/4.5%
002615	哈尔斯：	-2.25%	11%	  8%	 45	-10	2217	1336	 5.0	T1	昨日首板,婴童概念,新零售       	1+-1      	 2/50%/-0.8%
000546	金圆股份	-2.24%	13%	  6%	 46	-12	1236	 268	 9.0	T1	昨日首板,医废处理,动力电池回收    	0+23      	 4/25%/-1.5%
002191	劲嘉股份	 -3.8%	14%	 10%	 51	 -5	1923	1059	 9.0	T1	昨日首板,食品安全,免疫治疗      	3/36      	 1/100%/7.7%
601700	风范股份	  2.1%	12%	  8%	 57	 16	3133	1584	 1.0	T1	昨日首板,智能电网,电网设备      	1/28      	 1/100%/0.4%
603305	旭升集团	 0.07%	11%	  6%	 65	  0	1567	1016	 1.0	T1	昨日首板,人形机器人,特斯拉      	6/47      	  8/88%/3.3%
002275	桂林三金	-2.91%	14%	 10%	 76	 -9	1013	2104	-1.0	T1	昨日首板,中药,流感          	1/26      	         nan
603208	江山欧派	-1.98%	14%	  8%	 81	 -2	2662	1212	 9.0	T1	昨日首板,装修建材           	2/9       	         nan
603863	松炀资源	-1.04%	11%	  4%	 90	  0	2098	1113	-1.0	T1	昨日首板,粤港自贸,造纸印刷      	0+0       	  6/83%/3.3%
002956	西麦食品	-1.89%	13%	  4%	 94	-10	1921	 591	-1.0	T1	昨日首板,西部大开发,食品饮料     	4+22      	  1/0%/-3.4%
002290	禾盛新材	 2.38%	14%	 10%	 96	 -4	 778	1054	 9.0	T1	昨日首板,DeepSeek概念,人工智能	61-28/0+33	 11/82%/3.6%
002785	万里石：	 -1.8%	12%	  0%	 99	 -6	2174	 436	-1.0	T1	昨日首板,装修建材           	1+49      	 2/100%/2.5%
002526	山东矿机	 3.01%	11%	  1%	165	-18	1678	 773	 1.0	T1	月度涨幅领先,网络游戏,机器人概念   	1+64      	10/100%/7.9%
002448	中原内配	 0.57%	11%	  0%	182	-10	  -5	 628	 9.0	T1	华为概念,机器人概念          	0+43      	  5/60%/1.3%
600250	南京商旅	 3.64%	12%	  1%	219	 41	1901	1808	 1.0	T1	旅游概念人气龙头,旅游概念,长江三角  	0+0       	  6/67%/0.7%
002633	申科股份	-6.41%	12%	-10%	235	-49	 -88	 970	-3.0	T2	4天2板,微盘股,通用设备       	1+9       	 11/64%/3.9%

2025-06-05 09:51:59
热榜个股信息3（热榜个股信息1热榜350内+最近热榜飙升超1000+涨停+压力线超5%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
000565	渝三峡A	-3.97%	10%	-10%	 50	-27	  29	 -45	-1.0	T1	昨日首板,化学制品,石墨烯      	0/28     	11/64%/4.7%
002735	王子新材	-2.88%	-1%	-22%	 82	-28	 -20	 -36	-3.0	T1	无线充电人气龙头,低空经济,可控核聚变	1+24     	12/42%/0.9%
603686	福龙马：	-2.83%	17%	-11%	103	-16	 -74	  -4	-3.0	T2	环保行业,中俄贸易概念        	51-9/7+35	 9/44%/2.4%
002229	鸿博股份	-1.14%	 7%	-13%	117	  3	 -52	 -51	-5.0	T1	造纸印刷,参股银行          	2+63     	17/59%/2.9%
002365	永安药业	 1.84%	 6%	-20%	131	 -3	 -53	 -57	 1.0	T1	氢能源人气龙头,一带一路,氢能源   	0+0      	13/62%/2.6%
600006	东风股份	-6.56%	 3%	-11%	200	224	-174	 -62	-7.0	T1	湖北自贸,汽车整车          	3+57     	6/33%/-0.6%
600676	交运股份	-1.41%	15%	-10%	214	-50	-124	1466	-2.0	T2	冷链物流,汽车拆解          	3/24     	 9/89%/4.5%
603169	兰石重装	-0.59%	11%	 -6%	226	 15	 -77	 -33	-3.0	T1	储能,新能源             	6+33     	 6/67%/1.3%
