
2025-04-22 09:47:18
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
87	38/114	69.09%/78.62%	2.1%/2.41%	18/23

2025-04-22 09:47:19
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/10/9天5板	新零售/6/6天3板	电商概念/6/9天5板	一带一路/6/2天2板	长江三角/6/9天5板

2025-04-22 09:47:21
龙头股信息：
代码	名称	板块	板数	标签	警告
001212	中旗新材	 粤港自贸	15天9板	15天9板,粤港自贸,装修装饰	8/5/20250418
600644	乐山电力	 绿色电力	11天7板	11天7板,电力行业,绿色电力	3/7/20250418
600794	保税科技	统一大市场	 9天5板	9天5板,统一大市场,物流行业	5/8/20250418
002640	跨境通：	 进口博览	 9天5板	9天5板,进口博览,贸易行业 	8/9/20250418
603128	华贸物流	 上海自贸	 6天4板	6天4板,物流行业,快递概念 	8/9/20250418

2025-04-22 09:47:21
连板天梯信息：
昨板数	今板数	涨停数	连板成功	连板成功率
6	->7	 1	0	  0.0%
5	->6	 2	0	  0.0%
4	->5	 2	0	  0.0%
3	->4	 3	1	33.33%
2	->3	10	4	 40.0%
1	->2	82	9	10.98%

2025-04-22 09:47:40
热门板块信息(人气350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
人气	0.41%/335	跨境支付(26),数字货币(19),黄金(18),机器人(17),央国企改革(13)
飙升	 2.47%/84	 一带一路(8),上海自贸(6),央国企改革(5),进口博览(4),大股东增持(4)
大涨	 11.1%/48	  物流行业(8),数字货币(7),跨境支付(6),统一大市场(6),商业百货(4)

(今日与昨日量比)上证：18% 深证：29% 创业板：33% 沪深300：17% 中证1000：37% 银行板块：-4%：

2025-04-22 09:48:05
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
002279	久其软件	20250415	2	69.0	26.0	 2.0	 3.0	3.865	 9.0	昨日首板,化债(AMC)概念,财税数字化
600505	西昌电力	20250415	2	68.0	21.0	 1.0	10.0	4.994	 9.0	昨日首板,电力行业,绿色电力      
000639	西王食品	20250415	2	66.0	16.0	11.0	 7.0	3.985	 9.0	昨日首板,长寿药,新零售        
301558	三态股份	20250415	1	65.0	25.0	 4.0	 6.0	 3.53	 1.0	贸易行业,跨境电商           
600735	新华锦：	20250415	1	63.0	27.0	 3.0	 7.0	0.628	 2.0	一带一路,贬值受益           
301232	飞沃科技	20250416	1	70.0	12.0	 9.0	 9.0	0.359	-1.0	新型工业化,商业航天          
002820	桂发祥：	20250416	2	63.0	15.0	 1.0	20.0	1.431	 1.0	新零售,预制菜概念           
300605	恒锋信息	20250416	2	63.0	24.0	 3.0	10.0	1.586	-1.0	昨日首板,远程办公,东数西算      
603123	翠微股份	20250416	2	62.0	29.0	 5.0	 3.0	 3.27	 1.0	今日首板,数字货币,多元金融      
002153	石基信息	20250417	2	64.0	 4.0	13.0	18.0	0.138	 0.0	4天2板,云计算,远程办公       
002629	仁智股份	20250418	2	64.0	17.0	 0.0	19.0	0.723	-1.0	3天2板,油气设服,采掘行业      
603042	华脉科技	20250418	2	54.0	38.0	 1.0	 7.0	2.129	-1.0	3天2板,边缘计算,5G概念      
000620	新华联：	20250418	2	51.0	16.0	 0.0	33.0	 2.74	 2.0	3天2板,房地产开发,京津冀      
002583	海能达：	20250418	2	34.0	58.0	 0.0	 8.0	19.36	 8.0	3天2板,中俄贸易概念,互联金融    
002194	武汉凡谷	20250418	2	29.0	63.0	 0.0	 8.0	9.744	 8.0	3天2板,创投,职业教育        

2025-04-22 09:48:09
飙升个股信息(今日人气飙升前100+排名350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	成交量	成交额	九转	人气排名	人气较昨日变动	标签	股本
600822	上海物贸	9.99%	4.68	25.5	185533	1.87	7.0	283	1847	今日首板,进口博览,上海自贸	0+26 # 4+75%+1.8%

2025-04-22 09:50:42
人气个股信息1(排名350内+最近人气飙升超1000+最近涨幅<15%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
002985	北摩高科	 -0.7%	10.05%	248	-20	 -50	1979	 3.0	T1	 12.65%	北京板块估值龙头,通用航空,铁路基建  	4+-4 # 2+100%+5.9%      
000863	三湘印象	-2.78%	 5.59%	249	-38	 364	3166	-1.0	T1	 10.95%	元宇宙概念,租售同权          	1+23 # 4+25%+-2.4%      

2025-04-22 09:50:42
人气个股信息3（人气个股信息1排名350内+最近人气飙升超1000+最近涨停+最近跌幅超5%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
300139	晓程科技	 0.75%	10.82%	 17	 -4	 217	 -40	 9.0	T1	 -7.49%	昨日首板,贵金属,绿色电力       	1+39 # 1+0%+-14.7%        
002279	久其软件	 2.94%	14.09%	 22	 -5	  74	 734	 9.0	T2	-12.69%	昨日首板,化债(AMC)概念,财税数字化	1+47 # 7+57%+0.0%         
000862	银星能源	 4.58%	  0.0%	 26	  8	 376	 -22	 9.0	T1	  -5.6%	昨日首板,电力行业,绿色电力      	4+21 # 2+50%+2.0%         
600589	大位科技	 0.75%	-2.62%	 27	 -3	 166	 188	 1.0	T1	 -5.03%	昨日首板,大数据,互联网服务      	27+48 # 25+68%+4.5%       
001337	四川黄金	 2.86%	 8.06%	 33	 -2	 255	-178	 3.0	T1	 -7.76%	昨日首板,贵金属,黄金概念       	10+22 # 3+67%+3.2%        
002155	湖南黄金	-0.91%	14.96%	 39	-11	 141	 -71	 4.0	T1	 -6.31%	昨日首板,贵金属,黄金概念       	217-76/30+111 # 5+80%+4.2%
601069	西部黄金	 1.04%	12.13%	 40	 -5	 140	-104	 9.0	T1	 -6.84%	昨日首板,贵金属,黄金概念       	7+33 # 4+50%+0.6%         
603918	金桥信息	 1.89%	 7.22%	 46	 -1	 755	 446	 9.0	T1	 -6.11%	昨日首板,蚂蚁概念,化债(AMC)概念 	67-16/1+50 # 11+55%+2.4%  
002095	生意宝：	 4.16%	 8.31%	 49	 10	1068	-107	 1.0	T1	 -7.29%	昨日首板,移动支付,互联金融      	0+0 # 12+75%+4.9%         
002716	湖南白银	 -0.5%	 8.21%	 58	-14	 721	-190	 3.0	T1	  -5.5%	昨日首板,贵金属,黄金概念       	17+53 # 1+0%+-4.6%        
000639	西王食品	  6.5%	10.83%	 63	  8	 318	 241	 9.0	T2	 -6.96%	昨日首板,长寿药,新零售        	4+17 # 8+62%+3.4%         
001318	阳光乳业	-1.38%	  0.0%	 72	  1	 359	  17	-1.0	T1	 -7.87%	昨日首板,乳业,婴童概念        	1+9 # 6+83%+5.3%          
002570	贝因美：	-0.81%	16.72%	 75	-32	 -41	 -32	-9.0	T1	-10.14%	乳业人气龙头,婴童概念,网红经济    	6+44 # 18+72%+4.7%        
002345	潮宏基：	 0.94%	 6.17%	 80	-12	 888	 -64	 1.0	T1	 -9.01%	昨日首板,新零售,NFT概念      	8+42 # 2+50%+1.9%         
300464	星徽股份	 1.89%	11.96%	 82	 -6	 998	 180	 1.0	T1	-10.73%	昨日首板,跨境电商,电商概念      	0+0 # 3+67%+4.4%          
300892	品渥食品	-3.83%	 6.34%	 86	-23	 201	 -36	-1.0	T1	 -8.09%	昨日首板,网红经济,啤酒概念      	0+11 # 10+80%+7.0%        
000822	山东海化	 0.15%	-6.08%	 91	-14	 222	  84	-1.0	T1	 -5.11%	昨日首板,央国企改革,氢能源      	0+33 # 4+50%+-2.5%        
002365	永安药业	 4.94%	-8.77%	101	-14	 301	  79	 5.0	T1	 -8.43%	昨日首板,化学制药,一带一路      	0+0 # 1+0%+-3.4%          
601008	连云港：	 5.04%	 1.51%	103	 25	 -66	 -78	 3.0	T1	-15.93%	13天7板,中俄贸易概念,航运港口   	1+29 # 7+71%+5.8%         
002773	康弘药业	 0.63%	  4.3%	106	-16	 734	  73	 9.0	T1	 -6.02%	昨日首板,化学制药,阿兹海默      	4+54 # 3+100%+6.6%        
600562	国睿科技	  0.2%	-4.49%	108	 -5	1797	1526	 9.0	T1	 -5.83%	昨日首板,PPP模式,长江三角     	28+66 # 1+100%+1.3%       
600206	有研新材	-2.98%	 18.9%	109	-17	   9	  19	-1.0	T1	 -5.45%	小金属,3D打印            	160-53/12+95 # 13+69%+2.8%
603630	拉芳家化	 -2.2%	 10.1%	113	 -2	 345	 114	-1.0	T1	-13.26%	昨日首板,美容护理,医疗美容      	32-19/0+13 # 6+67%+0.5%   
002629	仁智股份	-3.47%	-9.38%	114	 -6	 491	1122	-1.0	T2	 -7.91%	3天2板,油气设服,采掘行业      	1+18 # 14+57%+1.6%        
603119	浙江荣泰	 3.09%	 8.45%	120	-15	1361	 217	 7.0	T1	 -6.13%	昨日首板,非金属材料,新能源车     	6+70 # 5+40%+-0.9%        
000626	远大控股	 1.75%	  1.7%	124	 -4	 655	-505	 1.0	T1	-21.18%	昨日首板,生态农业,贸易行业      	0+0 # 9+67%+2.6%          
301259	艾布鲁：	 2.97%	 5.64%	150	-19	2739	1179	 9.0	T1	 -7.29%	昨日首板,乡村振兴,垃圾分类      	6+22 # 1+100%+3.2%        

2025-04-22 09:50:42
人气个股信息4(排名350内+最近涨停+最近涨幅<20%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
600505	西昌电力	 7.42%	15.91	 32	-12	  93	 202	 9.0	T2	   0.9%	昨日首板,电力行业,绿色电力      	1+18 # 4+75%+0.7%          
600490	鹏欣资源	 6.82%	16.99	 34	  8	 258	 532	 8.0	T1	  7.58%	昨日首板,长江三角,黄金概念      	8+52 # 11+55%+1.9%         
000639	西王食品	  6.5%	10.83	 63	  8	 318	 241	 9.0	T2	 -6.96%	昨日首板,长寿药,新零售        	4+17 # 8+62%+3.4%          
002131	利欧股份	 6.25%	 1.27	  3	 -1	 151	 130	 3.0	T1	  -3.9%	昨日首板,海绵城市,区块链       	248-12/10+226 # 17+76%+5.1%
000965	天保基建	 6.21%	17.61	 16	  5	   4	 541	 7.0	T4	 20.94%	10天5板,参股券商,滨海新区     	0+18 # 3+100%+9.7%         
601008	连云港：	 5.04%	 1.51	103	 25	 -66	 -78	 3.0	T1	-15.93%	13天7板,中俄贸易概念,航运港口   	1+29 # 7+71%+5.8%          
002365	永安药业	 4.94%	-8.77	101	-14	 301	  79	 5.0	T1	 -8.43%	昨日首板,化学制药,一带一路      	0+0 # 1+0%+-3.4%           
000862	银星能源	 4.58%	  0.0	 26	  8	 376	 -22	 9.0	T1	  -5.6%	昨日首板,电力行业,绿色电力      	4+21 # 2+50%+2.0%          
002479	富春环保	 4.56%	 6.19	 44	  7	2606	 680	 1.0	T1	 -1.24%	昨日首板,生物质能发电,垃圾分类    	2+26 # 2+0%+-4.6%          
600391	航发科技	 4.43%	11.44	 37	  0	  55	 250	 9.0	T2	  2.24%	4天2板,成渝特区,央国企改革     	68-25/3+40 # 5+40%+0.3%    
002095	生意宝：	 4.16%	 8.31	 49	 10	1068	-107	 1.0	T1	 -7.29%	昨日首板,移动支付,互联金融      	0+0 # 12+75%+4.9%          
003030	祖名股份	  3.9%	  1.9	 87	  1	 205	 219	 1.0	T1	  5.38%	昨日首板,新零售,人造肉        	0+0 # 8+50%+2.6%           
605488	福莱新材	 3.87%	 4.25	 59	 20	1390	 423	 3.0	T1	 -4.11%	昨日首板,一带一路,降解塑料      	3+34 # 15+87%+5.0%         
002583	海能达：	 3.86%	 9.74	  2	 -1	  87	 385	 8.0	T2	  7.01%	3天2板,互联金融,中俄贸易概念    	182-25/14+143 # 27+78%+6.0%
002194	武汉凡谷	 3.48%	 6.97	  9	 -1	 313	1547	 8.0	T2	  8.39%	3天2板,创投,职业教育        	2+52 # 6+50%+-0.0%         
600860	京城股份	 3.15%	 2.96	 41	  8	1252	2088	 1.0	T1	 -2.17%	昨日首板,天然气,央国企改革      	1+28 # 6+67%+0.8%          
603119	浙江荣泰	 3.09%	 8.45	120	-15	1361	 217	 7.0	T1	 -6.13%	昨日首板,非金属材料,新能源车     	6+70 # 5+40%+-0.9%         
