
2025-04-18 10:32:42
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
49	32/99	52.46%/74.44%	0.75%/2.96%	13/12

2025-04-18 10:32:43
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/8/8天4板	电商概念/7/5天5板	长江三角/6/12天6板	一带一路/5/2天2板	军工/5/6天4板

2025-04-18 10:32:44
龙头股信息：
代码	名称	板块	板数	标签	警告
002165	红宝丽：	环氧丙烷	 12天6板	12天6板,环氧丙烷,长江三角 	 5/5/20250415
601086	国芳集团	参股券商	11天10板	11天10板,商业百货,参股券商	 3/3/20250417
000965	天保基建	滨海新区	  8天4板	8天4板,滨海新区,房地产开发 	8/11/20250415
002564	天沃科技	熔盐储能	  6天4板	6天4板,熔盐储能,专业服务  	6/10/20250415
605188	国光连锁	 新零售	  5天5板	5天5板,商业百货,新零售   	 4/8/20250415

2025-04-18 10:32:44
连板天梯信息：
昨板数	今板数	涨停数	连板成功	连板成功率
6	->7	 1	0	  0.0%
4	->5	 3	1	33.33%
3	->4	 7	3	42.86%
2	->3	 9	3	33.33%
1	->2	66	6	 9.09%

2025-04-18 10:33:12
热门板块信息(人气350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
人气	0.13%/337	长江三角(16),跨境支付(15),央国企改革(14),半导体(13),商业百货(12)
飙升	 2.25%/82	      减肥药(10),CRO(8),机构增持(7),互联金融(6),长江三角(4)
大涨	10.32%/41	     商业百货(5),房地产开发(3),环氧丙烷(3),长江三角(3),微盘股(3)

(今日与昨日量比)上证：-19% 深证：-4% 创业板：-4% 沪深300：-32% 中证1000：-12% 银行板块：-17%：

2025-04-18 10:33:30
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
000428	华天酒店	20250411	2	67.0	20.0	 2.0	11.0	0.022	-2.0	昨日首板,参股保险,央国企改革   
002453	华软科技	20250411	2	66.0	16.0	 0.0	18.0	0.036	 3.0	昨日首板,互联金融,独角兽     
600712	南宁百货	20250411	2	64.0	22.0	 2.0	12.0	0.046	-6.0	退税商店,商业百货         
002127	南极电商	20250414	2	70.0	 7.0	14.0	 9.0	0.358	 3.0	昨日首板,长江三角,创投      
600053	九鼎投资	20250414	2	70.0	22.0	 0.0	 7.0	0.005	 3.0	今日首板,多元金融,创投      
002255	海陆重工	20250414	2	68.0	 9.0	12.0	11.0	0.343	-3.0	昨日首板,第三代半导体,可控核聚变 
002843	泰嘉股份	20250414	2	65.0	17.0	12.0	 5.0	0.055	 3.0	昨日首板,消费电子,AIPC    
002562	兄弟科技	20250415	2	64.0	18.0	 1.0	16.0	0.102	-3.0	4天2板,化学制品,PEEK材料概念
603110	东方材料	20250415	2	63.0	21.0	 6.0	 9.0	0.047	-4.0	4天2板,石墨烯,数据中心     
603359	东珠生态	20250415	2	63.0	27.0	 2.0	 8.0	0.035	 2.0	4天2板,PPP模式,碳交易    
600735	新华锦：	20250415	1	58.0	29.0	 4.0	 9.0	0.018	-1.0	一带一路,养老概念         

2025-04-18 10:33:35
飙升个股信息(今日人气飙升前100+排名350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	成交量	成交额	九转	人气排名	人气较昨日变动	标签	股本
301509	金凯生科	16.43%	19.23	20.41	1312	0.037	3.0	 35	3948	减肥药,CRO       	0+0 #                 
002177	御银股份	10.12%	 8.68	 6.84	3182	0.015	3.0	 96	1737	今日首板,数字货币,互联金融	33-1/1+31 # 8+62%+2.1%
301566	达利凯普	20.01%	 9.45	14.48	 132	0.002	3.0	102	2374	今日首板,MLCC,被动元件	3+22 #                
600721	百花医药	 3.66%	14.99	 6.75	8698	0.059	3.0	139	1765	CRO,肝炎概念      	3+18 # 2+50%+-0.1%    
301393	昊帆生物	 4.73%	 8.19	 5.17	 402	0.019	3.0	235	1730	CRO,生物制品      	4+12 #                
002724	海洋王：	 4.95%	 4.04	 3.99	8312	0.049	3.0	272	1702	电子元件,石墨烯      	1+-1 # 6+67%+4.2%     
300266	兴源环境	11.82%	 4.34	 7.98	7318	0.018	3.0	347	4122	PPP模式,碳交易     	0+0 # 4+50%+7.4%      
300961	深水海纳	 4.98%	12.76	 4.31	2513	0.039	3.0	348	1820	鸿蒙概念,PPP模式    	0+0 # 6+67%+2.0%      

2025-04-18 10:35:22
人气个股信息1(排名350内+最近人气飙升超1000+最近涨幅<15%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
000514	渝开发：	 7.82%	  1.9%	 64	  5	3275	1456	 3.0	T1	-1.06%	昨日首板,房地产开发,化债(AMC)概念	0+0 # 4+75%+2.2%        
300805	电声股份	-4.65%	 3.75%	 67	-20	2362	2354	-3.0	T1	 3.37%	昨日首板,电商概念,网红直播      	1+-1 # 2+50%+0.8%       
603359	东珠生态	 2.51%	 4.76%	 70	 18	1169	1181	 2.0	T2	12.45%	4天2板,PPP模式,碳交易      	1+15 # 10+40%+0.8%      
002562	兄弟科技	-3.39%	  5.0%	 71	-14	1735	2299	-3.0	T2	12.63%	4天2板,化学制品,PEEK材料概念  	1+-1 # 3+67%+3.2%       
001316	润贝航科	-5.53%	10.02%	 73	  6	1545	 -97	-3.0	T1	 0.46%	昨日首板,贸易行业,大飞机       	0+10 # 2+0%+-1.4%       
600857	宁波中百	  0.2%	11.52%	 75	-24	 746	1323	 1.0	T1	 7.46%	昨日首板,商业百货,长江三角      	0+13 # 5+40%+-0.8%      
301190	善水科技	-3.41%	 1.08%	 78	  4	2101	1215	-3.0	T1	 0.41%	昨日首板,幽门螺杆菌概念,化学制品   	1+15 # 1+0%+-1.3%       
603188	亚邦股份	-4.69%	 6.02%	 79	-17	-105	 637	-3.0	T3	 7.57%	6天3板,央国企改革,化学制品     	0+15 # 12+75%+2.6%      
603928	兴业股份	  2.9%	-7.36%	 82	-17	1323	 443	 3.0	T1	  2.0%	昨日首板,锂电池,新材料        	1+13 # 8+75%+5.1%       
000668	荣丰控股	 4.05%	 2.74%	 85	-21	1744	4246	 3.0	T3	 5.16%	5天3板,房地产开发,电商概念     	0+5 # 8+25%+-2.0%       
603938	三孚股份	 4.22%	-6.39%	 86	-11	1211	 364	 3.0	T1	-0.82%	昨日首板,有机硅,氢能源        	0+0 # 3+100%+6.7%       
603002	宏昌电子	 -1.4%	 0.19%	 89	-39	 882	 327	-3.0	T1	 1.34%	昨日首板,3D打印,电子化学品     	71-35/7+29 # 8+25%+-3.7%
002985	北摩高科	 1.76%	 4.19%	 90	-37	2992	 731	 3.0	T1	-2.26%	昨日首板,无人机,铁路基建       	4+-4 # 1+100%+9.4%      
605138	盛泰集团	-7.33%	 4.17%	 91	 -1	2227	 741	-3.0	T2	-0.17%	大股东增持,纺织服装          	0+0 # 1+100%+2.7%       
600594	益佰制药	 0.55%	 6.17%	 99	-13	2808	1830	 3.0	T1	 7.08%	昨日首板,独家药品,中药概念      	0+0 #                   
001300	三柏硕：	-2.49%	 3.34%	100	-13	 808	2851	-3.0	T2	 7.01%	昨日首板,跨境电商,家用轻工      	0+0 # 3+33%+-1.8%       
603900	莱绅通灵	-5.89%	 1.82%	104	-45	1273	 344	-3.0	T1	 2.81%	昨日首板,新零售,黄金概念       	1+9 # 6+67%+3.0%        
002492	恒基达鑫	-5.34%	 3.28%	106	-52	3274	1973	-1.0	T1	 1.19%	昨日首板,快递概念,物流行业      	0+0 #                   
603123	翠微股份	 1.85%	 4.77%	110	 62	1779	 835	 3.0	T1	 1.98%	多元金融,数字货币           	2+26 # 8+62%+0.4%       
603931	格林达：	-2.92%	12.05%	114	-42	 102	1393	-3.0	T2	 9.64%	昨日首板,光刻机(胶),电子化学品   	2+16 # 5+40%+0.1%       
300616	尚品宅配	-6.68%	 5.38%	115	-44	1829	 507	-3.0	T1	-0.92%	昨日首板,小红书概念,C2M概念    	0+0 # 1+100%+7.8%       
603315	福鞍股份	-1.79%	-0.84%	117	-33	1277	 389	-3.0	T1	 1.96%	昨日首板,节能环保,超超临界发电    	0+21 # 8+50%+1.3%       
002566	益盛药业	-4.19%	 6.73%	119	-59	 476	 698	 6.0	T1	-2.02%	昨日首板,农业种植,化妆品概念     	0+0 # 1+100%+1.2%       
603116	红蜻蜓：	-2.78%	 -0.6%	121	-41	2203	2167	-3.0	T1	 5.45%	昨日首板,纺织服装,C2M概念     	2+15 # 4+75%+3.4%       
600448	华纺股份	-6.42%	10.76%	127	-60	2653	1866	-3.0	T1	10.04%	昨日首板,抗菌面料,C2M概念     	0+0 #                   
603506	南都物业	-4.75%	 2.97%	128	-28	1769	 705	-2.0	T1	 -5.7%	昨日首板,微盘股,社区团购       	18-10/1+7 # 2+50%+0.7%  
002843	泰嘉股份	 0.58%	 0.89%	141	-39	 235	1655	 3.0	T2	  6.6%	昨日首板,消费电子,AIPC      	0+0 # 8+38%+-0.4%       
600939	重庆建工	 0.36%	 5.65%	152	-58	3033	1645	 0.0	T1	 7.36%	昨日首板,工程建设,房屋检测      	0+0 # 6+100%+6.8%       
603171	税友股份	-5.42%	 3.57%	153	-55	1846	1368	-3.0	T1	 2.43%	昨日首板,财税数字化,互联网服务    	20+24 # 5+40%+-1.6%     
603801	志邦家居	-3.46%	-0.82%	155	-70	2661	1330	-3.0	T1	-2.16%	昨日首板,工业互联,装修建材      	4+26 # 2+100%+3.2%      
603110	东方材料	 2.57%	 0.88%	165	-23	1967	2403	-4.0	T2	11.04%	4天2板,石墨烯,数据中心       	0+0 # 9+78%+4.8%        
603039	泛微网络	-3.03%	 3.15%	170	-64	 917	1188	-3.0	T1	 5.38%	昨日首板,国产软件,远程办公      	23+69 # 9+78%+4.4%      
002279	久其软件	-4.83%	 4.53%	174	-43	1289	1602	-3.0	T1	12.27%	网红直播,远程办公           	1+47 # 7+57%+0.0%       
605287	德才股份	-5.37%	-1.83%	178	-73	3274	1805	-3.0	T1	 1.89%	昨日首板,装修装饰,微盘股       	0+0 # 4+25%+-0.9%       
002374	中锐股份	-3.14%	  2.6%	180	-73	1687	 -58	-1.0	T1	-0.42%	昨日首板,包装材料,白酒        	0+0 # 8+50%+0.9%        
002715	登云股份	-5.54%	 4.71%	186	-74	1277	 550	-3.0	T1	 5.71%	昨日首板,汽车零部件,黄金概念     	0+16 # 6+83%+3.3%       
002343	慈文传媒	 2.29%	 2.26%	196	 72	2141	1167	 3.0	T1	 3.21%	长江三角,央国企改革          	2+21 # 3+100%+6.9%      
000820	神雾节能	-4.71%	 3.04%	201	-83	2165	1659	-3.0	T1	 2.15%	昨日首板,环保行业,微盘股       	0+9 # 8+50%+0.0%        
300941	创识科技	 2.51%	 5.95%	215	-18	3906	1965	 5.0	T1	 1.41%	数字货币人气龙头,数字货币,鸿蒙概念  	0+0 # 3+67%+-0.5%       
000505	京粮控股	-6.21%	11.73%	220	-51	 148	 671	-3.0	T2	15.24%	农牧饲渔,生态农业           	0+21 # 5+40%+0.3%       
000899	赣能股份	-5.59%	 7.23%	224	-75	 266	 774	-3.0	T1	13.83%	超超临界发电,电力行业         	1+24 # 1+0%+-0.1%       

2025-04-18 10:35:22
人气个股信息3（人气个股信息1排名350内+最近人气飙升超1000+最近涨停+最近跌幅超5%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
601008	连云港：	-5.53%	13.97%	 31	-20	   2	  -8	-4.0	T2	-10.35%	11天7板,中俄贸易概念,航运港口  	1+29 # 6+83%+7.7%     
002040	南京港：	-1.84%	 7.37%	 32	  2	1160	  -6	-3.0	T2	 -5.59%	一带一路人气龙头,央国企改革,航运港口	0+0 # 3+33%+-1.0%     
000920	沃顿科技	-4.35%	18.37%	108	-42	  93	-274	-3.0	T1	 -6.31%	昨日首板,净水概念,环保行业     	2+22 # 2+50%+-1.5%    
300947	德必集团	-5.38%	14.17%	123	-55	 797	-122	-3.0	T1	 -5.76%	昨日首板,人工智能,空间计算     	0+0 # 2+0%+-5.9%      
603506	南都物业	-4.75%	 2.97%	128	-28	1769	 705	-2.0	T1	  -5.7%	昨日首板,微盘股,社区团购      	18-10/1+7 # 2+50%+0.7%
603967	中创物流	-4.64%	-4.32%	245	-74	 312	  38	-3.0	T1	-13.86%	中俄贸易概念,物流行业        	1+16 # 2+100%+7.0%    

2025-04-18 10:35:22
人气个股信息4(排名350内+最近涨停+最近涨幅<20%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
605179	一鸣食品	 7.95%	10.43	 20	-10	 462	 236	 9.0	T1	  1.57%	昨日首板,代糖概念,冷链物流      	91-68/5+18 # 17+82%+6.8%   
000514	渝开发：	 7.82%	  1.9	 64	  5	3275	1456	 3.0	T1	 -1.06%	昨日首板,房地产开发,化债(AMC)概念	0+0 # 4+75%+2.2%           
605136	丽人丽妆	 7.57%	 8.25	 56	-12	 925	1757	 2.0	T1	  6.14%	昨日首板,商业百货,创投        	4+13 # 5+20%+-2.1%         
001395	亚联机械	 6.44%	-3.31	 46	 24	1685	2259	 9.0	T3	 12.96%	4天3板,专用设备,次新股       	0+0 # 1+100%+10.0%         
002987	京北方：	 6.25%	 6.68	 55	850	 -52	 534	 3.0	T1	  6.06%	今日主力净流入领先,跨境支付,数字货币 	2+51 # 8+50%+0.4%          
600800	渤海化学	 5.78%	17.65	 45	 -4	2545	1609	 3.0	T2	 20.07%	3天2板,滨海新区,央国企改革     	2+19 # 9+78%+5.1%          
002383	合众思壮	 5.68%	 9.94	166	848	-388	 177	 3.0	T1	 -2.45%	UWB概念,北斗导航          	1+38 # 8+62%+1.4%          
002693	双成药业	 5.37%	19.95	  7	  8	 125	 412	 9.0	T4	 20.98%	7天5板,阿兹海默,生物制品      	0+26 # 34+79%+6.0%         
600250	南京商旅	 5.22%	13.56	 17	  0	 829	1432	 2.0	T1	  9.21%	昨日首板,并购重组概念,长江三角    	0+0 # 4+50%+0.7%           
002098	浔兴股份	 4.47%	 0.13	 27	 25	2507	2970	 8.0	T3	 12.59%	4天3板,体育产业,跨境电商      	0+0 # 1+100%+10.0%         
002584	西陇科学	 4.31%	 4.76	  3	  6	 147	  95	 3.0	T1	 -0.58%	昨日首板,互联金融,锂电池       	1+32 # 3+33%+0.0%          
603938	三孚股份	 4.22%	-6.39	 86	-11	1211	 364	 3.0	T1	 -0.82%	昨日首板,有机硅,氢能源        	0+0 # 3+100%+6.7%          
000668	荣丰控股	 4.05%	 2.74	 85	-21	1744	4246	 3.0	T3	  5.16%	5天3板,房地产开发,电商概念     	0+5 # 8+25%+-2.0%          
002261	拓维信息	 3.98%	 1.51	  1	  0	 134	  70	 2.0	T1	  1.23%	昨日首板,鸿蒙概念,华为昇腾      	398-45/13+340 # 18+78%+4.6%
000859	国风新材	 3.84%	 9.11	 18	  4	 151	  70	 3.0	T1	 -2.08%	昨日首板,新能源车,央国企改革     	0+37 # 15+53%+2.3%         
002127	南极电商	 3.66%	11.51	 57	-22	 670	1891	 3.0	T2	  9.02%	昨日首板,长江三角,创投        	10+-10 # 8+62%+2.4%        
603928	兴业股份	  2.9%	-7.36	 82	-17	1323	 443	 3.0	T1	   2.0%	昨日首板,锂电池,新材料        	1+13 # 8+75%+5.1%          
603110	东方材料	 2.57%	 0.88	165	-23	1967	2403	-4.0	T2	 11.04%	4天2板,石墨烯,数据中心       	0+0 # 9+78%+4.8%           
603359	东珠生态	 2.51%	 4.76	 70	 18	1169	1181	 2.0	T2	 12.45%	4天2板,PPP模式,碳交易      	1+15 # 10+40%+0.8%         
300941	创识科技	 2.51%	 5.95	215	-18	3906	1965	 5.0	T1	  1.41%	数字货币人气龙头,数字货币,鸿蒙概念  	0+0 # 3+67%+-0.5%          
002343	慈文传媒	 2.29%	 2.26	196	 72	2141	1167	 3.0	T1	  3.21%	长江三角,央国企改革          	2+21 # 3+100%+6.9%         
603536	惠发食品	  2.2%	 6.93	 29	 -2	1264	1230	 3.0	T1	  1.18%	昨日首板,新零售,预制菜概念      	0+11 # 9+67%+3.5%          
603123	翠微股份	 1.85%	 4.77	110	 62	1779	 835	 3.0	T1	  1.98%	多元金融,数字货币           	2+26 # 8+62%+0.4%          
002985	北摩高科	 1.76%	 4.19	 90	-37	2992	 731	 3.0	T1	 -2.26%	昨日首板,无人机,铁路基建       	4+-4 # 1+100%+9.4%         
600575	淮河能源	 1.01%	 6.38	 54	-30	1423	 847	 2.0	T1	 15.03%	昨日首板,煤化工,一带一路       	6+43 # 1+0%+-0.2%          
002201	九鼎新材	 0.74%	 7.68	 52	-16	 131	 104	 2.0	T1	  2.18%	昨日首板,玻璃玻纤,长江三角      	0+0 # 2+50%+-0.7%          
002843	泰嘉股份	 0.58%	 0.89	141	-39	 235	1655	 3.0	T2	   6.6%	昨日首板,消费电子,AIPC      	0+0 # 8+38%+-0.4%          
600594	益佰制药	 0.55%	 6.17	 99	-13	2808	1830	 3.0	T1	  7.08%	昨日首板,独家药品,中药概念      	0+0 #                      
002453	华软科技	 0.54%	 3.16	 74	-34	 109	 244	 3.0	T2	 -1.53%	昨日首板,互联金融,独角兽       	0+0 # 12+75%+3.7%          
002537	海联金汇	 0.48%	19.96	214	121	 -60	 -15	-2.0	T1	 -3.64%	跨境支付,数字货币           	1+-1 # 3+33%+1.3%          
603237	五芳斋：	 0.42%	 6.26	 43	-17	 813	1996	 1.0	T1	  4.91%	昨日首板,虚拟数字人,预制菜概念    	0+0 # 1+100%+3.8%          
600939	重庆建工	 0.36%	 5.65	152	-58	3033	1645	 0.0	T1	  7.36%	昨日首板,工程建设,房屋检测      	0+0 # 6+100%+6.8%          
600857	宁波中百	  0.2%	11.52	 75	-24	 746	1323	 1.0	T1	  7.46%	昨日首板,商业百货,长江三角      	0+13 # 5+40%+-0.8%         
000428	华天酒店	-0.26%	12.99	 26	-13	 251	 573	-2.0	T2	 -3.12%	昨日首板,参股保险,央国企改革     	0+0 # 2+0%+-1.8%           
002410	广联达：	-1.08%	 4.02	 33	-14	 770	 463	-3.0	T1	  -3.0%	昨日首板,人工智能,数字孪生      	13+158 # 7+71%+3.4%        
603002	宏昌电子	 -1.4%	 0.19	 89	-39	 882	 327	-3.0	T1	  1.34%	昨日首板,3D打印,电子化学品     	71-35/7+29 # 8+25%+-3.7%   
